,Review_Rating,ABV,Name,Style
626227,3.0,6.0,Opa Opa IPA,American IPA
233065,3.5,7.0,Southampton Saison Brun,Saison / Farmhouse Ale
65181,3.5,5.0,Full Moon Pale Ale,American Pale Ale (APA)
699349,4.5,5.51,Planet Porter,American Porter
1061925,3.0,5.0,Tooheys Extra Dry,American Adjunct Lager
397309,2.5,5.2,Horny Goat Belgian Style Wheat,Witbier
1048020,2.0,9.5,Big Eddy Russian Imperial Stout,Russian Imperial Stout
565920,5.0,8.5,Imperial Steel Rail,American Pale Ale (APA)
1116577,1.5,5.7,Smuttynose Hanami Ale,Fruit / Vegetable Beer
678719,4.0,7.25,Barrel Aged I.P.A.,American IPA
369887,4.0,5.0,Blanche De Chambly,Witbier
866464,3.5,9.3,MacTarnahan's Gran Luxe Tripel Ale,Tripel
314264,4.0,6.0,Samuel Adams Latitude 48 IPA,American IPA
874886,4.5,7.7,Stone Ruination IPA,American Double / Imperial IPA
235741,4.0,7.2,Southampton Imperial Porter,American Porter
1015391,4.0,13.2,Labyrinth Black Ale,American Double / Imperial Stout
135537,3.5,10.0,Night Rider - Bourbon Barrel Aged,American Double / Imperial Stout
524140,3.5,7.0,Samuel Smith's Imperial Stout,Russian Imperial Stout
1209664,4.5,7.25,Heavy Seas - Loose Cannon (Hop3 Ale),American IPA
1132614,4.0,5.3,Opening Day IPA,American IPA
400387,4.5,7.2,Scratch Beer 49 - 2011 (Fresh Hop Ale),American IPA
218986,3.5,7.1,Titan IPA,American IPA
1502769,3.0,6.7,Grotten Brown (Pierre Celis Signature),Belgian Strong Dark Ale
459884,4.0,6.7,Old Leghumper,American Porter
1537332,3.5,8.0,Kasteel Rouge,Fruit / Vegetable Beer
1078016,4.0,6.5,Wolaver's India Pale Ale,American IPA
1538548,3.0,7.7,Saison De Lily,Saison / Farmhouse Ale
352963,4.0,5.4,Blue Moon Belgian White,Witbier
86175,3.0,6.8,Sierra Nevada Celebration Ale,American IPA
941278,2.0,9.2,Bell's Batch 10000,American Strong Ale
189952,4.5,7.3,Green Flash West Coast I.P.A.,American IPA
1357063,4.0,6.75,Censored,American Amber / Red Ale
728654,4.5,5.5,Red Nectar,American Amber / Red Ale
1281288,4.5,5.25,New Holland Mad Hatter India Pale Ale,American IPA
166069,4.5,6.8,Red Rocket Ale,American Amber / Red Ale
1439199,4.5,11.0,The Abyss,American Double / Imperial Stout
331202,2.5,7.0,Autumn 2011 Farmhouse Ale,Saison / Farmhouse Ale
695920,2.5,7.2,Mojo IPA,American IPA
497435,4.0,5.8,Brutal Bitter Ale,American IPA
473255,4.0,10.8,Fifteen,American Double / Imperial Stout
543187,4.5,8.3,Terrapin Big Hoppy Monster,American Amber / Red Ale
1441480,3.5,6.4,Red Chair IPA,American IPA
84780,4.0,6.8,Sierra Nevada Celebration Ale,American IPA
167869,4.0,7.0,Racer 5 India Pale Ale,American IPA
941,3.0,10.0,Leviathan Imperial Stout,American Double / Imperial Stout
381774,4.0,6.9,NorCal IPA,American IPA
923355,2.5,4.6,Corona Extra,American Adjunct Lager
644895,4.0,11.03,The Czar,Russian Imperial Stout
1136574,4.0,11.0,Pliny The Younger,American Double / Imperial IPA
895433,4.0,8.5,Lukcy 13asartd Ale,American Strong Ale
184219,2.5,10.0,AleSmith Grand Cru Ale,Belgian Strong Dark Ale
465055,4.0,9.3,Prophecy,Tripel
1157513,3.0,6.4,IPA  Island Pale Ale,American IPA
949357,3.5,5.2,Bell's Pale Ale,American Pale Ale (APA)
914640,3.5,7.3,Oak-aged Saison De Sorachi,Saison / Farmhouse Ale
1344390,4.0,10.0,De Dolle Dulle Teve (Mad Bitch),Tripel
1118537,3.5,6.9,"Smuttynose IPA ""Finest Kind""",American IPA
219418,3.5,9.5,Maverick Imperial Stout,Russian Imperial Stout
1573641,4.5,6.5,Mad Anthony IPA,American IPA
459963,4.5,9.7,Siberian Night Imperial Stout,Russian Imperial Stout
1077284,4.5,11.0,Otter Creek Imperial India Pale Ale,American Double / Imperial IPA
697783,4.0,10.5,Mojo Risin' Double IPA,American Double / Imperial IPA
1342640,4.5,7.0,Monseigneur D'Esgly,American Double / Imperial Stout
4660,4.0,9.4,Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout,Russian Imperial Stout
1360780,3.0,8.2,Maximus,American Double / Imperial IPA
491022,3.0,5.1,St. Rogue Red,American Amber / Red Ale
359970,3.5,9.5,The Incredible Hop Imperial India Style Wheat Ale,American Double / Imperial IPA
289162,4.0,9.2,Samuel Adams Imperial Stout,Russian Imperial Stout
467237,4.5,9.0,Double Simcoe IPA,American Double / Imperial IPA
253266,4.5,9.5,Péché Mortel (Imperial Stout Au Cafe),American Double / Imperial Stout
935378,3.0,7.0,Two Hearted Ale,American IPA
1118324,3.5,6.9,"Smuttynose IPA ""Finest Kind""",American IPA
1176492,4.5,5.0,Namaste,Witbier
60270,3.0,6.5,Saison De Lente,Saison / Farmhouse Ale
841699,4.0,5.5,Full Sail Amber,American Amber / Red Ale
1114957,2.5,9.6,Smuttynose Big A IPA (Big Beer Series),American Double / Imperial IPA
1378715,4.0,8.5,Delirium Nocturnum,Belgian Strong Dark Ale
257212,4.0,9.0,2010 Bluesapalooza,American Double / Imperial Stout
559001,4.5,5.7,Single-Wide I.P.A.,American IPA
498011,4.0,5.8,Brutal Bitter Ale,American IPA
1164894,3.0,18.0,Raison D'extra,Belgian Strong Dark Ale
1057800,4.0,6.1,Red Tail Ale,American Amber / Red Ale
1338953,4.0,6.0,Alpha King Pale Ale,American Pale Ale (APA)
1007034,4.0,7.5,Foret,Saison / Farmhouse Ale
1510808,4.0,9.5,Brewer's Reserve Bourbon Barrel Stout,American Double / Imperial Stout
226572,4.0,9.5,Oak Aged Yeti Imperial Stout,Russian Imperial Stout
136851,4.5,10.0,Night Rider,American Double / Imperial Stout
91612,3.5,5.6,Sierra Nevada Pale Ale,American Pale Ale (APA)
1231120,4.0,3.3,Moderation Pale Ale,American Pale Ale (APA)
376297,4.0,10.0,Unibroue 10,Belgian Strong Pale Ale
494281,3.5,11.0,Imperial Stout,Russian Imperial Stout
164948,3.5,8.1,Big Bear Black Stout,American Double / Imperial Stout
422995,3.0,5.8,Great Lakes Edmund Fitzgerald Porter,American Porter
1287145,3.5,6.7,Affligem Blond,Belgian Strong Pale Ale
465492,3.5,11.8,Tiny,American Double / Imperial Stout
581295,3.5,5.0,Pete's Wicked Strawberry Blonde,Fruit / Vegetable Beer
118265,4.5,6.3,Dundee India Pale Ale,American IPA
364615,4.0,7.5,Quatre-Centième Brassin Commémoratif,Belgian Strong Pale Ale
656025,2.5,5.0,Dos Equis Special Lager,American Adjunct Lager
805351,4.0,12.0,The Angel's Share Grand Cru,American Strong Ale
1009226,3.5,6.0,La Choulette Framboise,Fruit / Vegetable Beer
782441,5.0,6.2,Furious,American IPA
189217,4.5,7.0,Green Flash Hop Head Red Ale,American Amber / Red Ale
592714,5.0,14.5,Bourbon County Brand Stout,American Double / Imperial Stout
989679,3.5,5.3,Steam Train Porter,American Porter
1163577,3.5,5.0,Shelter Pale Ale,American Pale Ale (APA)
641641,4.0,16.83,The Beast Grand Cru,Belgian Strong Dark Ale
1446981,4.5,6.4,Red Chair NWPA,American Pale Ale (APA)
1397302,4.5,5.42,Pappy's Porter,American Porter
995966,4.0,10.0,Outblack,Belgian Strong Dark Ale
803016,4.5,6.5,Carnevale,Saison / Farmhouse Ale
1334083,4.0,9.5,Dreadnaught IPA,American Double / Imperial IPA
182865,5.0,8.5,YuleSmith (Summer),American Double / Imperial IPA
1422052,4.5,8.0,Fantôme Magic Ghost,Saison / Farmhouse Ale
1091590,4.5,8.9,Saint Arnold Divine Reserve #11,American Double / Imperial IPA
655480,3.0,4.5,Carta Blanca,American Adjunct Lager
209982,4.0,6.5,Ranger,American IPA
133141,4.0,9.0,Shark Attack Double Red Ale,American Amber / Red Ale
742313,3.0,9.0,Imperial Stout,Russian Imperial Stout
1447585,4.5,5.5,Hop Trip (Bond Street Series),American Pale Ale (APA)
1284375,3.5,10.8,New Holland Night Tripper,American Double / Imperial Stout
550019,4.5,6.3,Snab Pale Ale,American Pale Ale (APA)
1528094,4.0,10.0,Brooklyn Black Chocolate Stout,Russian Imperial Stout
501478,3.5,9.0,XS Imperial Red,American Amber / Red Ale
276066,3.0,4.9,Hoegaarden Original White Ale,Witbier
523592,4.0,7.0,Samuel Smith's Imperial Stout,Russian Imperial Stout
1554669,5.0,8.5,Hop Wallop,American Double / Imperial IPA
1141186,4.0,11.0,Damnation Batch 23 (Oak Aged),Tripel
90183,3.5,5.6,Sierra Nevada Pale Ale,American Pale Ale (APA)
537540,4.0,7.3,Terrapin Hopsecutioner,American IPA
1039569,3.5,11.5,Matt,American Strong Ale
726481,4.0,6.4,Bengali Tiger,American IPA
1404428,4.5,7.2,Galena IPA,American IPA
263675,4.0,11.5,Double Dog Double Pale Ale,American Double / Imperial IPA
273217,4.0,4.8,Woody Creek White,Witbier
411481,4.5,7.5,Tröegs Nugget Nectar,American Amber / Red Ale
712679,3.5,6.0,Dark Horse Crooked Tree IPA,American IPA
358658,4.5,7.8,Decade India Pale Ale,American Double / Imperial IPA
1336009,4.5,6.0,Alpha Klaus Christmas (Xmas) Porter,American Porter
1361929,4.5,9.7,Undercover Investigation Shut-down Ale,American Strong Ale
185051,4.0,9.5,YuleSmith (Winter),American Amber / Red Ale
181590,4.5,7.25,AleSmith IPA,American IPA
28188,3.0,5.4,Founders Pale Ale,American Pale Ale (APA)
154465,2.5,9.0,Tripel,Tripel
20203,4.0,10.5,Founders Imperial Stout,Russian Imperial Stout
342649,4.5,7.5,Trappistes Rochefort 6,Belgian Strong Dark Ale
260882,1.0,7.1,Kingfisher Strong,American Adjunct Lager
185694,3.0,6.66,AleSmith My Bloody Valentine,American Amber / Red Ale
1378730,3.5,8.5,Delirium Nocturnum,Belgian Strong Dark Ale
571443,4.0,4.3,Bam Noire,Saison / Farmhouse Ale
37710,3.5,6.0,Smoke (Smoked Porter),American Porter
403299,4.5,11.0,Tröegs Mad Elf,Belgian Strong Dark Ale
1463348,3.5,5.8,Lucky Kat,American IPA
653082,3.0,6.8,Peak Organic Espresso Amber Ale,American Amber / Red Ale
1537122,3.0,8.0,Kasteel Rouge,Fruit / Vegetable Beer
951210,4.0,10.0,The Oracle,American Double / Imperial IPA
693783,4.5,8.4,Pauwel Kwak,Belgian Strong Pale Ale
108313,4.0,8.4,Folklore (aka 25 To One),Belgian Strong Dark Ale
1153027,2.5,8.1,Arcadia HopMouth Double IPA,American Double / Imperial IPA
1576173,4.0,5.5,Yukon Red Amber Ale (Arctic Red),American Amber / Red Ale
922141,4.0,4.4,Modelo Especial,American Adjunct Lager
628177,4.5,14.0,He'Brew Jewbelation Fourteen,American Strong Ale
943086,3.0,10.5,Bell's Expedition Stout,Russian Imperial Stout
1379444,3.5,8.5,La Guillotine,Belgian Strong Pale Ale
1281992,3.5,9.4,New Holland Imperial Hatter,American Double / Imperial IPA
1378461,4.0,4.1,Van Diest Früli Strawberry Beer,Fruit / Vegetable Beer
648316,4.0,8.5,DuganA IPA,American Double / Imperial IPA
111290,3.5,5.0,Wigged Pig Wheat,Witbier
395371,4.0,6.8,Presidio India Pale Ale,American IPA
966368,4.5,6.4,Jack D'or,Saison / Farmhouse Ale
51406,3.0,10.0,Stoudt's Double IPA (India Pale Ale),American Double / Imperial IPA
1534670,5.0,11.0,Cuvée Van De Keizer Blauw (Blue),Belgian Strong Dark Ale
1306901,1.0,8.0,Wild Blue (Blueberry Lager),Fruit / Vegetable Beer
1495252,4.0,6.7,Frog's Breath,American IPA
1071710,3.5,4.7,Vanilla Porter,American Porter
415610,4.0,9.1,Great Lakes Lake Erie Monster,American Double / Imperial IPA
412170,2.5,6.0,Bear Paw Porter,American Porter
1514025,3.0,3.8,Soberana Extra Fina,American Adjunct Lager
902222,4.0,8.0,Westoek XX,Tripel
1105256,4.0,5.75,Bitter Woman India Pale Ale,American IPA
1212123,3.0,8.0,Heavy Seas - Peg Leg (Imperial Stout),Russian Imperial Stout
252439,4.0,6.5,Corne Du Diable,American IPA
1463153,3.5,5.4,Hex,American Amber / Red Ale
1179554,4.0,8.0,Raison D'etre,Belgian Strong Dark Ale
1176063,4.5,9.0,90 Minute IPA,American Double / Imperial IPA
352758,4.0,5.4,Blue Moon Belgian White,Witbier
368759,4.0,9.0,Don de Dieu,Belgian Strong Pale Ale
663596,4.5,8.2,Imperial Amber Ale,American Double / Imperial IPA
1212135,4.0,8.0,Heavy Seas - Peg Leg (Imperial Stout),Russian Imperial Stout
873068,4.5,8.4,Stone 07.07.07 Vertical Epic Ale,Belgian Strong Pale Ale
1265079,4.5,9.0,Old Rasputin Russian Imperial Stout,Russian Imperial Stout
280520,3.0,6.5,Insanity Plea,American IPA
253537,4.0,9.5,Péché Mortel (Imperial Stout Au Cafe),American Double / Imperial Stout
702962,2.5,5.0,Great Western Premium Honey Wheat,American Adjunct Lager
734624,1.0,5.8,Coal Stoker's Blackberry,Fruit / Vegetable Beer
1035941,4.0,7.0,Citra Hops (Single Hop Series),American IPA
149454,4.5,11.0,Oak Aged Unearthly (Imperial India Pale Ale),American Double / Imperial IPA
6805,2.5,8.5,La Binchoise Triple,Tripel
1061380,3.0,9.0,Ass Kisser Double IPA,American Double / Imperial IPA
969709,3.0,8.5,Duvel,Belgian Strong Pale Ale
460106,4.5,9.7,Siberian Night Imperial Stout,Russian Imperial Stout
710862,4.0,13.6,Dark Horse Double Crooked Tree IPA,American Double / Imperial IPA
479172,4.5,8.6,Butte Creek Organic Revolution XI Imperial IPA,American Double / Imperial IPA
83450,4.0,6.8,Sierra Nevada Celebration Ale,American IPA
1398884,3.0,7.0,Pecan Pie Porter,American Porter
558324,4.5,8.5,Saison - Brett,Saison / Farmhouse Ale
1284433,3.5,10.8,New Holland Night Tripper,American Double / Imperial Stout
1471754,4.0,5.0,Serie Signature - Americaine Pale Ale,American Pale Ale (APA)
708030,4.0,12.0,Plead The 5th Imperial Stout,Russian Imperial Stout
705342,3.5,6.5,Coal Porter,American Porter
1507592,4.0,8.0,McChouffe,Belgian Strong Dark Ale
1220167,4.5,10.0,Allagash Black - Bourbon Barrel Aged,Belgian Strong Dark Ale
1234399,3.0,5.0,Labatt Blue,American Adjunct Lager
723973,4.0,6.5,Columbus IPA,American IPA
31566,3.0,7.2,Founders Centennial IPA,American IPA
858117,3.5,9.39,Funky E Star,Belgian Strong Pale Ale
1176180,4.0,9.0,90 Minute IPA,American Double / Imperial IPA
1540124,3.0,4.7,La Messagere,American Pale Ale (APA)
857871,4.5,6.8,Amarillo Single Hop IPA,American IPA
768079,4.0,5.1,Ommegang Witte,Witbier
1018278,3.5,6.2,Sigtuna Röd Påsk,American Amber / Red Ale
566593,3.0,8.5,Berkshire Russian Imperial Stout,Russian Imperial Stout
462084,4.0,6.5,Big Daddy IPA,American IPA
528633,3.5,5.0,Tiger Beer,American Adjunct Lager
799523,4.0,11.0,Serpent's Stout,American Double / Imperial Stout
1017759,3.5,9.5,Old 21 Imperial IPA,American Double / Imperial IPA
1222458,4.0,7.5,Allagash Black,Belgian Strong Dark Ale
140348,4.5,11.5,Hunahpu's Imperial Stout,American Double / Imperial Stout
581326,3.0,5.2,Pete's Wicked Winter Brew,Fruit / Vegetable Beer
1543797,3.0,6.7,HopDevil Ale,American IPA
1137924,4.5,6.1,Blind Pig IPA,American IPA
742911,3.5,9.0,Tiger Tripel,Tripel
1538303,2.0,9.0,Buffalo Belgian Stout,Belgian Strong Dark Ale
1463231,3.5,5.8,Lucky Kat,American IPA
1271180,4.5,6.3,Maple Bacon Coffee Porter,American Porter
1529840,3.5,10.0,Brooklyn Black Chocolate Stout,Russian Imperial Stout
894386,4.0,7.2,Oaked Arrogant Bastard Ale,American Strong Ale
562485,4.0,5.2,Bully! Porter,American Porter
169607,4.0,5.5,XP Pale Ale,American Pale Ale (APA)
1496118,4.5,5.1,Audacious Apricot Ale,Fruit / Vegetable Beer
469577,4.0,8.0,Raspberry Imperial Stout,Fruit / Vegetable Beer
524779,3.5,7.0,Ubu Ale,American Strong Ale
304415,4.0,5.2,Samuel Adams White Ale,Witbier
1140764,4.0,7.75,Damnation,Belgian Strong Pale Ale
261079,4.0,9.0,668 The Neighbor Of The Beast,Belgian Strong Pale Ale
157523,2.5,10.4,Jahva (Imperial Coffee Stout),American Double / Imperial Stout
1327736,4.5,6.2,Zombie Dust,American Pale Ale (APA)
794042,3.5,5.0,Blueberry Ale,Fruit / Vegetable Beer
373516,3.5,9.0,La Fin Du Monde,Tripel
64399,4.5,8.5,Mischief,Belgian Strong Pale Ale
241016,4.5,10.5,Gulden Draak (Dark Triple),Belgian Strong Dark Ale
658764,3.5,6.8,Snapperhead IPA,American IPA
170409,4.0,9.0,Imperial Red I.P.A.,American Double / Imperial IPA
567887,1.5,4.6,Wild Huckleberry Wheat Lager,Fruit / Vegetable Beer
1287208,4.0,6.7,Affligem Blond,Belgian Strong Pale Ale
931179,5.0,10.0,Bell's Hopslam Ale,American Double / Imperial IPA
760799,5.0,9.3,W'11 (KGB Imperial Stout),Russian Imperial Stout
35376,4.0,6.5,Founders Porter,American Porter
249758,4.5,8.0,Chimay Tripel (White),Tripel
34314,4.5,11.2,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout
1162960,4.0,10.0,Robert Johnson's Hellhound On My Ale,American Double / Imperial IPA
652691,3.0,5.05,Peak Organic Pale Ale,American Pale Ale (APA)
228838,4.0,10.0,Hercules Double IPA,American Double / Imperial IPA
675466,4.0,9.75,Sexual Chocolate,Russian Imperial Stout
1112130,3.5,9.3,Smuttynose Farmhouse Ale (Big Beer Series),Saison / Farmhouse Ale
1204568,4.0,8.0,Satan Gold,Belgian Strong Pale Ale
1356079,2.0,9.99,Brown Shugga',American Strong Ale
8753,3.5,8.5,Jefferson's Reserve Bourbon Barrel Stout,American Double / Imperial Stout
1089083,4.0,9.5,Airporter Porter,American Porter
704832,4.0,5.2,Bar Harbor Blueberry Ale,Fruit / Vegetable Beer
160322,5.0,10.5,Gemini (Imperial Blended Ale),American Strong Ale
617899,3.5,10.0,Harpoon Leviathan - Imperial IPA,American Double / Imperial IPA
60291,4.5,6.5,Saison De Lente,Saison / Farmhouse Ale
1260185,3.5,7.6,Pranqster,Belgian Strong Pale Ale
1548360,4.0,9.1,Storm King Stout,Russian Imperial Stout
1519276,4.0,9.7,Hop Crisis,American Double / Imperial IPA
34907,4.5,11.2,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout
297379,4.0,5.8,Samuel Adams Holiday Porter,American Porter
1445514,4.0,6.8,Inversion IPA,American IPA
814038,3.5,5.8,Saranac India Pale Ale,American IPA
1551160,4.5,5.1,Headwaters Pale Ale,American Pale Ale (APA)
637481,3.5,7.69,Avery Anniversary Ale - Sixteen,Saison / Farmhouse Ale
755255,4.0,9.0,Reinaert Flemish Wild Ale,Belgian Strong Pale Ale
404307,4.0,5.4,Tröegs Dead Reckoning Porter,American Porter
6490,2.5,5.0,Club Premium Lager,American Adjunct Lager
1234728,4.5,5.0,Labatt Blue,American Adjunct Lager
552365,4.0,5.5,Hurricane Kitty,American IPA
617685,4.0,10.0,Harpoon Leviathan - Imperial IPA,American Double / Imperial IPA
741257,3.5,5.6,Steelhead Extra Pale Ale,American Pale Ale (APA)
848715,3.5,4.5,Oppigårds Inwit,Witbier
1125208,2.5,4.5,Milwaukee's Best Premium,American Adjunct Lager
1071439,3.5,4.7,Vanilla Porter,American Porter
669379,4.0,7.5,Flower Power India Pale Ale,American IPA
1047738,4.5,9.5,Big Eddy Russian Imperial Stout,Russian Imperial Stout
887890,3.5,7.8,Stone 9th Anniversary Ale,American Strong Ale
1329667,4.5,5.0,Pride & Joy Mild Ale,American Pale Ale (APA)
1450220,4.0,5.1,Narragansett Lager,American Adjunct Lager
1430977,4.0,4.2,Woody's Oak,American Pale Ale (APA)
153185,3.5,9.5,Unearthly (Imperial India Pale Ale),American Double / Imperial IPA
1395546,4.5,7.5,Ballistic IPA,American IPA
289235,4.0,9.2,Samuel Adams Imperial Stout,Russian Imperial Stout
541779,4.0,6.0,Terrapin Maggie's Farmhouse Ale,Saison / Farmhouse Ale
1053890,5.0,5.0,Wittekerke,Witbier
820557,4.0,10.0,Malheur 10°,Belgian Strong Pale Ale
1054085,3.5,5.0,Wittekerke,Witbier
951095,3.5,10.0,The Oracle,American Double / Imperial IPA
937527,5.0,12.0,Bell's Batch 7000,American Double / Imperial Stout
90926,4.0,5.6,Sierra Nevada Pale Ale,American Pale Ale (APA)
275803,4.0,4.9,Hoegaarden Original White Ale,Witbier
1369710,4.5,8.9,Lagunitas Lucky 13 Mondo Large Red Ale,American Amber / Red Ale
254269,4.5,9.5,Péché Mortel (Imperial Stout Au Cafe),American Double / Imperial Stout
76488,4.0,8.5,Best Of Beer Camp: Double IPA - Beer Camp #29,American Double / Imperial IPA
1257862,3.5,5.0,ACME California Pale Ale,American Pale Ale (APA)
1232539,5.0,7.2,Rye IPA,American IPA
625521,4.0,7.8,Harpoon Refsvinginge Private Stock (100 Barrel Series #18),Saison / Farmhouse Ale
1441003,5.0,5.2,Black Butte Porter,American Porter
1071107,3.0,5.7,Trademark Pale Ale,American Pale Ale (APA)
749485,4.0,8.0,Rip Tide,American Double / Imperial Stout
1303256,4.0,5.3,Budweiser American Ale,American Amber / Red Ale
1086098,4.5,9.0,The Hammer,American Double / Imperial IPA
1395604,4.0,8.25,Satisfaction Jacksin,American Double / Imperial IPA
206162,3.5,6.0,Mighty Arrow Pale Ale,American Pale Ale (APA)
1171937,4.5,6.0,60 Minute IPA,American IPA
552937,4.5,9.3,Black Betty Imperial Stout Reserve Series Aged In Whiskey Barrels,Russian Imperial Stout
935403,4.5,7.0,Two Hearted Ale,American IPA
72512,4.5,5.9,Sierra Nevada Anniversary Ale (2007-2009),American IPA
1238690,4.5,5.3,Twisted Pine Amber Ale,American Amber / Red Ale
755105,4.5,8.0,Broederlijke Liefde (w/ Brian O'Reilly),Saison / Farmhouse Ale
729408,3.5,5.2,Moto Brew,American Pale Ale (APA)
398775,4.5,8.0,Caracole Ambrée,Belgian Strong Pale Ale
985134,4.5,10.0,Ivan The Terrible,Russian Imperial Stout
157957,4.0,8.0,Hoppe (Imperial Extra Pale Ale),American Double / Imperial IPA
1329935,3.5,5.0,Pride & Joy Mild Ale,American Pale Ale (APA)
733077,4.0,5.0,Bad Elmer's Porter,American Porter
1313052,2.5,5.5,Moa Blanc,Witbier
102054,4.5,6.5,Hale's O'Brien's Harvest Ale,American Pale Ale (APA)
1176111,5.0,9.0,90 Minute IPA,American Double / Imperial IPA
1209567,4.5,7.25,Heavy Seas - Loose Cannon (Hop3 Ale),American IPA
